matchId,gameMode,queueId,gameDuration,tier,platform
VN2_1254661571,CLASSIC,420,1826,BRONZE,br1
VN2_1253284411,CLASSIC,420,2230,BRONZE,br1
VN2_1250866596,CLASSIC,440,1915,BRONZE,br1
VN2_1161755824,CLASSIC,420,1681,BRONZE,br1
VN2_1212022097,CLASSIC,420,1862,BRONZE,br1
VN2_1245456943,CLASSIC,420,1988,BRONZE,br1
VN2_1219025639,CLASSIC,420,2171,BRONZE,br1
VN2_1228470815,CLASSIC,420,1154,BRONZE,br1
VN2_1231076999,CLASSIC,420,1586,BRONZE,br1
VN2_1222557841,CLASSIC,420,2102,BRONZE,br1
VN2_1161767352,URF,900,1049,BRONZE,br1
VN2_1253831538,CLASSIC,420,1967,BRONZE,br1
VN2_1254426727,URF,900,629,BRONZE,br1
VN2_354993495,URF,1900,1233,BRONZE,br1
VN2_1250658115,URF,900,1716,BRONZE,br1
VN2_1251428066,ARAM,450,991,BRONZE,br1
VN2_1246812737,CLASSIC,420,2621,BRONZE,br1
VN2_1233784446,CLASSIC,440,2759,BRONZE,br1
VN2_1246906401,URF,900,928,BRONZE,br1
VN2_1254403469,CLASSIC,420,1650,BRONZE,br1
VN2_871236013,CLASSIC,440,1899,BRONZE,br1
VN2_1177264710,CLASSIC,440,1467,BRONZE,br1
VN2_1253816298,CLASSIC,420,2034,BRONZE,br1
VN2_1251938101,URF,900,1426,BRONZE,br1
VN2_1242337560,ARAM,450,1123,BRONZE,br1
VN2_1209664250,CLASSIC,420,105,BRONZE,br1
VN2_1145642283,URF,900,1308,BRONZE,br1
VN2_1240200143,CLASSIC,400,2640,BRONZE,br1
VN2_1195777539,URF,900,1298,BRONZE,br1
VN2_1253692631,CLASSIC,420,1912,BRONZE,br1
VN2_1246162329,CLASSIC,420,2067,BRONZE,br1
VN2_1161131348,URF,900,1088,BRONZE,br1
VN2_1248747808,CLASSIC,420,2008,BRONZE,br1
VN2_1249747597,CLASSIC,440,83,BRONZE,br1
VN2_1235899076,URF,900,719,BRONZE,br1
VN2_1246061661,URF,900,1308,BRONZE,br1
VN2_1232909619,ARAM,450,1938,BRONZE,br1
VN2_1244379391,SWIFTPLAY,480,1187,BRONZE,br1
VN2_1203968448,URF,900,731,BRONZE,br1
VN2_1218379443,CHERRY,1700,1636,BRONZE,br1
VN2_1250435201,CLASSIC,420,2160,BRONZE,br1
VN2_1251650846,CLASSIC,420,2013,BRONZE,br1
VN2_1195767653,CLASSIC,420,1679,BRONZE,br1
VN2_1247860913,ARAM,450,1441,BRONZE,br1
VN2_1254439334,URF,900,1007,BRONZE,br1
VN2_1249387977,URF,900,1198,BRONZE,br1
VN2_1231078963,CLASSIC,420,1616,BRONZE,br1
VN2_1248286910,CLASSIC,420,1929,BRONZE,br1
VN2_1251062372,CLASSIC,420,2817,BRONZE,br1
VN2_1249326140,CLASSIC,420,1730,BRONZE,br1
VN2_1247790155,CLASSIC,420,1979,BRONZE,br1
VN2_1250526498,URF,900,1943,BRONZE,br1
VN2_1245105459,CLASSIC,420,2028,BRONZE,br1
VN2_1215733332,CLASSIC,420,2015,BRONZE,br1
VN2_1250761265,CLASSIC,420,1856,BRONZE,br1
VN2_1253596219,CLASSIC,420,2097,BRONZE,br1
VN2_1234092567,CLASSIC,420,2930,BRONZE,br1
VN2_819449808,ARAM,450,1252,BRONZE,br1
VN2_1253417871,CLASSIC,440,1977,BRONZE,br1
VN2_1239784542,CLASSIC,420,1870,BRONZE,br1
VN2_1252414489,SWIFTPLAY,480,1773,BRONZE,br1
VN2_1239922758,CLASSIC,420,103,BRONZE,br1
VN2_1154890291,CLASSIC,420,2033,BRONZE,br1
VN2_1128238839,CLASSIC,420,929,BRONZE,br1
VN2_1217137477,CLASSIC,420,1663,BRONZE,br1
VN2_1238334423,CLASSIC,420,1867,BRONZE,br1
VN2_1245050474,CLASSIC,420,1924,BRONZE,br1
VN2_1254112823,CLASSIC,420,1943,BRONZE,br1
VN2_1235690089,CLASSIC,420,119,BRONZE,br1
VN2_1180873550,CLASSIC,420,1711,BRONZE,br1
VN2_1208235219,CLASSIC,420,2499,BRONZE,br1
VN2_1244465527,CLASSIC,440,2520,BRONZE,br1
VN2_1216070287,CLASSIC,420,2625,BRONZE,br1
VN2_1199129381,CLASSIC,420,1557,BRONZE,br1
VN2_1222520697,CLASSIC,420,2815,BRONZE,br1
