tier,division,puuid,leagueId,leaguePoints,wins,losses,hotStreak,veteran,freshBlood,inactive
BRONZE,II,hGNDlYmsZyxTL6BbMMqZmE1iXVBakmIlkJVfb7RGyinEL_-rLcNG5EQ66Kn_bo0cCieEjtjJNKaAnQ,c0f98f3d-9b80-4c40-9181-c648127397a5,16,4,8,False,False,False,False
BRONZE,II,hLo2FZBKOX9UiZ3338M6B6l_7JBVNR8YB5ZujhFZrK8_k4_H2Pl8PPnlVt3yj80uin6IH2KVzsBSOQ,3425a307-9811-4b9a-99b7-155249d90a01,12,11,15,False,False,False,False
BRONZE,II,iYo_Vrzd6ge3e2pALGnZ2De0GfC6XIzuuDGf1qr8XuWp3pXTd-M9J2LSZ84ln9ONqH2xCp-520NPOA,0f00ae07-b44e-4af0-8def-4e90514649cf,80,3,8,False,False,False,False
BRONZE,II,Mdirhr6ngF3EZxxSRY_1Ci08oVibQO8Vo_DDtUEKcagCWaOvvHBkeUHWXUqSdM_M96gn1leqGXubPQ,49314ffc-f093-4c4c-a678-5835dcba5120,13,14,11,False,False,False,False
BRONZE,II,-7P1DEfnDYUBFjoUMxsWlorVhUhOP5Rd8xvHnS4PGXiwunfTyYeHA8wtfbPGT78zAudBIIW6aER5qw,8f62e13e-c06a-46e1-a8dd-968d683b9ad9,73,30,30,False,False,False,False
BRONZE,IV,w0M9cLsI6BUV_3UnlLWJAj-VMUKgBoPgELcJXTR9d9wNnWXzQvy7It0KGxAx0IJhaOEfse3D_PIzIg,58e9d3ec-fadf-4757-844d-80f36c79af9f,89,15,19,False,False,False,False
BRONZE,III,TG9xqWOtPq7lbgMa4jQdXV-IuZ8dXAX8cepjNII8OcP70_LN1sI2y4UZrL56Oe01SP_5Dr0qLoCmtQ,9664527c-950e-4cc4-9515-127ea0c126ee,0,2,4,False,False,False,False
BRONZE,II,sAiQoNVS2pifk1cGF3JfAn2yjuvKhjdUyORxLDUVNpjkffC_2S3ESoSHAUDWP7e4dNiGnmEir_2wcA,a991b56d-57ba-4274-9649-f8455fe9de29,90,2,4,False,False,False,False
BRONZE,I,nw-ZuFFByPLRTrVxFAzhZzAOBt0yfpThO4ghO7mByDgSfGmapPNimshKrI14mXW3sLX74BzZrBCctA,86be8fea-6f63-4595-8478-e8ff5182a0bd,42,7,5,False,False,False,False
BRONZE,II,Xo2MnftPFRK9GvcOdhoBv7IY_vOHHljKQX-06irt3J56FDLNOwQ_beavCEjY-sbX1BzISktdCMELVw,2fddcf33-9c63-47c4-8973-ccb998e46407,25,6,4,False,False,False,False
BRONZE,II,UoO6QIBt3InsTvnBTQgsqexbi_LYXns1kpbD-JSXi918IxoqzQblm7F0Bq9gNHDKbzdvWW_fSC7w8Q,78058c27-b1f5-4a9e-9e38-3f0b891865cc,99,13,8,False,False,False,False
